question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity,sq4_ex
31,1,1.0,49.71301198005676,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
32,1,1.0,48.95451998710632,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
33,1,1.0,62.76286292076111,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
34,1,1.0,62.980242013931274,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
35,1,1.0,58.669184923172,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
36,1,1.0,64.30819296836853,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
37,1,1.0,52.345816135406494,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
38,1,1.0,62.34048295021057,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
39,1,1.0,54.471795082092285,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
40,1,1.0,59.08285999298096,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
41,1,1.0,58.50553107261658,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
42,1,1.0,47.99593377113342,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
43,0,0.3333333333333333,42.91149115562439,724,241.33333333333334,3,1,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,0,0,0.5,
44,1,1.0,42.897820234298706,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
45,1,1.0,42.25811195373535,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
46,1,1.0,42.84008502960205,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
47,1,1.0,62.249250650405884,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
48,1,1.0,71.27043676376343,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
49,1,1.0,65.33022379875183,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
50,1,1.0,61.84763503074646,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
51,1,1.0,68.9012017250061,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
52,1,1.0,46.50876522064209,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
53,1,1.0,45.81473183631897,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
54,1,1.0,52.182254791259766,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
55,1,1.0,56.614105224609375,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
56,1,1.0,60.41177225112915,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
57,1,1.0,51.814586877822876,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
58,1,1.0,52.12665414810181,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0,
59,1,1.0,57.75456094741821,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
60,1,1.0,58.24858903884888,899,224.75,4,4,5,0,0,0,124,419,0,356,mixed_evaluation_third_query_count_based,1,1,1,1.0,1
