question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity
61,1,1.0,64.97355604171753,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0
62,1,1.0,46.54947090148926,724,241.33333333333334,3,3,5,0,0,0,102,331,0,291,mixed_evaluation_third_query_count_based,1,1,1,1.0
63,1,1.0,43.21565389633179,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
64,1,1.0,55.50422501564026,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
65,1,1.0,47.40956783294678,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
66,1,1.0,45.15717101097107,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
67,1,1.0,47.92001795768738,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
68,1,1.0,42.93677282333374,672,224.0,3,3,5,0,0,0,92,309,0,271,mixed_evaluation_third_query_count_based,1,1,1,1.0
69,0,0.6666666666666666,51.37324094772339,692,230.66666666666666,3,2,5,0,0,0,88,322,0,282,mixed_evaluation_third_query_count_based,1,0,1,1.0
70,0,0.6666666666666666,52.05365800857544,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
71,0,0.6666666666666666,82.54928302764893,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
72,0,0.6666666666666666,58.7196569442749,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
73,0,0.6666666666666666,51.54333281517029,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
74,0,0.6666666666666666,69.28370189666748,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
75,0,0.6666666666666666,64.10198497772217,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
76,0,0.6666666666666666,64.7137405872345,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
77,0,0.6666666666666666,47.51274514198303,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
78,0,0.6666666666666666,66.66111516952515,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
79,0,0.6666666666666666,66.65679812431335,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
80,0,0.6666666666666666,76.28214502334595,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
81,0,0.6666666666666666,49.59679985046387,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
82,0,0.6666666666666666,63.38707208633423,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
83,0,0.6666666666666666,74.81479287147522,693,231.0,3,2,5,0,0,0,88,322,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
84,0,0.6666666666666666,50.06527400016785,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
85,0,0.0,61.53163504600525,691,230.33333333333334,3,0,5,0,0,0,87,322,0,282,mixed_evaluation_third_query_count_based,0,0,0,0.0
86,0,0.6666666666666666,56.32716488838196,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
87,0,0.6666666666666666,64.50666689872742,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
88,0,0.6666666666666666,44.655770778656006,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
89,0,0.6666666666666666,65.7417140007019,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
90,0,0.6666666666666666,58.463802099227905,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
91,0,0.6666666666666666,72.09364104270935,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
92,0,0.6666666666666666,55.79158806800842,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
93,0,0.6666666666666666,75.47120904922485,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
94,0,0.6666666666666666,76.34851098060608,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
95,0,0.6666666666666666,80.17625904083252,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
96,0,0.6666666666666666,66.1883659362793,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
97,0,0.6666666666666666,47.716355085372925,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
98,0,0.6666666666666666,62.80125975608826,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
99,0,0.6666666666666666,45.32775115966797,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
100,0,0.6666666666666666,60.92000985145569,697,232.33333333333334,3,2,5,0,0,0,89,325,0,283,mixed_evaluation_third_query_count_based,1,0,1,1.0
