question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity,sq4_ex
80,0,0.3333333333333333,70.34438991546631,714,238.0,3,1,0,0,0,0,97,331,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
81,0,0.3333333333333333,72.5019142627716,683,227.66666666666666,3,1,0,0,0,0,88,317,0,278,mixed_evaluation_third_query_count_based,1,0,0,0.0,
82,0,0.3333333333333333,67.37157607078552,683,227.66666666666666,3,1,0,0,0,0,88,317,0,278,mixed_evaluation_third_query_count_based,1,0,0,0.0,
83,0,0.3333333333333333,87.45698380470276,710,236.66666666666666,3,1,0,0,0,0,97,328,0,285,mixed_evaluation_third_query_count_based,1,0,0,0.0,
84,0,0.3333333333333333,61.87932109832764,705,235.0,3,1,0,0,0,0,95,326,0,284,mixed_evaluation_third_query_count_based,1,0,0,0.0,
85,0,0.0,76.39431571960449,681,227.0,3,0,0,0,0,0,87,317,0,277,mixed_evaluation_third_query_count_based,0,0,0,0.0,
86,0,0.3333333333333333,82.10044193267822,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
87,0,0.3333333333333333,105.2851071357727,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
88,0,0.3333333333333333,78.89501476287842,717,239.0,3,1,0,0,0,0,97,332,0,288,mixed_evaluation_third_query_count_based,1,0,0,0.0,
89,0,0.3333333333333333,74.69178509712219,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
90,0,0.3333333333333333,85.28841018676758,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
91,0,0.3333333333333333,80.87266302108765,711,237.0,3,1,0,0,0,0,95,329,0,287,mixed_evaluation_third_query_count_based,1,0,0,0.0,
92,0,0.3333333333333333,78.67428493499756,717,239.0,3,1,0,0,0,0,97,332,0,288,mixed_evaluation_third_query_count_based,1,0,0,0.0,
93,0,0.3333333333333333,66.57696580886841,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
94,0,0.3333333333333333,103.78939509391785,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
95,0,0.3333333333333333,74.76314115524292,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
96,0,0.3333333333333333,72.72497987747192,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
97,0,0.3333333333333333,69.70747709274292,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
98,0,0.3333333333333333,80.84211301803589,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
99,0,0.3333333333333333,95.56521487236023,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
100,0,0.3333333333333333,81.17801904678345,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
101,0,0.3333333333333333,79.6246862411499,704,234.66666666666666,3,1,0,0,0,0,95,326,0,283,mixed_evaluation_third_query_count_based,1,0,0,0.0,
102,0,0.3333333333333333,75.81036710739136,712,237.33333333333334,3,1,0,0,0,0,97,329,0,286,mixed_evaluation_third_query_count_based,1,0,0,0.0,
