question_id,fex,ex,execution_time,total_tokens,tokens_per_subquery,total_subqueries,correct_subqueries,example_count,repair_attempts,repair_successes,repair_success_rate,query_planner_tokens,sparql_generator_tokens,query_repairer_tokens,subquery_scheduler_tokens,evaluation_mode,sq1_ex,sq2_ex,sq3_ex,sq3_similarity,sq4_ex
1,0,0.75,73.14204001426697,913,228.25,4,3,2,0,0,0,109,432,0,372,mixed_evaluation_third_query_count_based,1,0,1,1.0,1
2,1,1.0,46.56544589996338,671,223.66666666666666,3,3,2,0,0,0,92,309,0,270,mixed_evaluation_third_query_count_based,1,1,1,1.0,
3,0,0.3333333333333333,65.63527226448059,681,227.0,3,1,2,0,0,0,87,317,0,277,mixed_evaluation_third_query_count_based,1,0,0,0.0,
4,1,1.0,44.14078497886658,661,220.33333333333334,3,3,2,0,0,0,88,304,0,269,mixed_evaluation_third_query_count_based,1,1,1,1.0,
5,0,0.75,75.11891388893127,937,234.25,4,3,2,0,0,0,112,442,0,383,mixed_evaluation_third_query_count_based,1,1,0,0.0,1
6,0,0.3333333333333333,47.51979327201843,685,228.33333333333334,3,1,2,0,0,0,83,320,0,282,mixed_evaluation_third_query_count_based,1,0,0,0.0,
7,0,0.6666666666666666,45.2733678817749,755,251.66666666666666,3,2,2,0,0,0,97,350,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
8,0,0.6666666666666666,45.662890911102295,763,254.33333333333334,3,2,2,0,0,0,98,354,0,311,mixed_evaluation_third_query_count_based,1,0,1,1.0,
9,0,0.6666666666666666,65.48217606544495,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
10,0,0.6666666666666666,52.86715531349182,770,256.6666666666667,3,2,2,0,0,0,102,356,0,312,mixed_evaluation_third_query_count_based,1,0,1,1.0,
11,0,0.6666666666666666,51.85142707824707,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
12,0,0.6666666666666666,59.784104108810425,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
13,0,0.6666666666666666,56.15098309516907,763,254.33333333333334,3,2,2,0,0,0,98,354,0,311,mixed_evaluation_third_query_count_based,1,0,1,1.0,
14,0,0.6666666666666666,67.70382404327393,775,258.3333333333333,3,2,2,0,0,0,102,358,0,315,mixed_evaluation_third_query_count_based,1,0,1,1.0,
15,0,0.6666666666666666,63.91846704483032,770,256.6666666666667,3,2,2,0,0,0,102,356,0,312,mixed_evaluation_third_query_count_based,1,0,1,1.0,
16,0,0.6666666666666666,66.19137692451477,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
17,0,0.6666666666666666,50.42422032356262,763,254.33333333333334,3,2,2,0,0,0,98,354,0,311,mixed_evaluation_third_query_count_based,1,0,1,1.0,
18,0,0.6666666666666666,51.40234184265137,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
19,0,0.6666666666666666,69.11906671524048,758,252.66666666666666,3,2,2,0,0,0,98,352,0,308,mixed_evaluation_third_query_count_based,1,0,1,1.0,
20,0,0.75,94.5536527633667,944,236.0,4,3,2,0,0,0,124,443,0,377,mixed_evaluation_third_query_count_based,1,0,1,1.0,1
21,0,0.75,99.19134020805359,923,230.75,4,3,2,0,0,0,115,436,0,372,mixed_evaluation_third_query_count_based,1,0,1,1.0,1
22,0,0.6666666666666666,77.39255499839783,770,256.6666666666667,3,2,2,0,0,0,102,356,0,312,mixed_evaluation_third_query_count_based,1,0,1,1.0,
23,0,0.6666666666666666,55.405336141586304,770,256.6666666666667,3,2,2,0,0,0,102,356,0,312,mixed_evaluation_third_query_count_based,1,0,1,1.0,
24,0,0.75,95.67499613761902,944,236.0,4,3,2,0,0,0,124,443,0,377,mixed_evaluation_third_query_count_based,1,0,1,1.0,1
25,0,0.6666666666666666,67.03950190544128,763,254.33333333333334,3,2,2,0,0,0,98,354,0,311,mixed_evaluation_third_query_count_based,1,0,1,1.0,
26,0,0.6666666666666666,56.33962798118591,763,254.33333333333334,3,2,2,0,0,0,98,354,0,311,mixed_evaluation_third_query_count_based,1,0,1,1.0,
27,0,0.6666666666666666,79.08424282073975,770,256.6666666666667,3,2,2,0,0,0,102,356,0,312,mixed_evaluation_third_query_count_based,1,0,1,1.0,
28,0,0.6666666666666666,62.63546133041382,771,257.0,3,2,2,0,0,0,102,356,0,313,mixed_evaluation_third_query_count_based,1,0,1,1.0,
29,0,0.75,103.79725384712219,950,237.5,4,3,2,0,0,0,124,445,0,381,mixed_evaluation_third_query_count_based,1,0,1,1.0,1
